,Date,Time,Latitude,Longitude,Type,Depth,Depth Error,Depth Seismic Stations,Magnitude,Magnitude Type,Magnitude Error,Magnitude Seismic Stations,Azimuthal Gap,Horizontal Distance,Horizontal Error,Root Mean Square,ID,Source,Location Source,Magnitude Source,Status
1000,07/29/1968,11:12:02,-22.531,-174.86,Earthquake,45.0,,,6.3,MW,,,,,,,ISCGEM819475,ISCGEM,ISCGEM,ISCGEM,Automatic
1001,07/29/1968,23:52:18,-0.291,133.409,Earthquake,20.0,,,6.2,MW,,,,,,,ISCGEM819494,ISCGEM,ISCGEM,ISCGEM,Automatic
1002,07/30/1968,20:38:43,-6.987,-80.544,Earthquake,31.8,,,6.5,MW,,,,,,,ISCGEM819518,ISCGEM,ISCGEM,ISCGEM,Automatic
1003,08/01/1968,00:14:17,-26.822,-177.09,Earthquake,127.2,,,5.7,MW,,,,,,,ISCGEM817534,ISCGEM,ISCGEM,ISCGEM,Automatic
1004,08/01/1968,20:19:22,16.316,122.067,Earthquake,25.0,,,7.6,MW,,,,,,,ISCGEM817557,ISCGEM,ISCGEM,ISCGEM,Automatic
1005,08/02/1968,13:30:25,27.579,60.979,Earthquake,67.4,,,5.9,MW,,,,,,,ISCGEM817580,ISCGEM,ISCGEM,ISCGEM,Automatic
1006,08/02/1968,14:06:43,16.519,-97.739,Earthquake,25.0,,,7.3,MW,,,,,,,ISCGEM817583,ISCGEM,ISCGEM,ISCGEM,Automatic
1007,08/03/1968,04:54:34,25.637,128.49,Earthquake,15.0,,,6.7,MW,,,,,,,ISCGEM817611,ISCGEM,ISCGEM,ISCGEM,Automatic
1008,08/03/1968,06:25:05,16.475,122.23,Earthquake,25.0,,,6.4,MW,,,,,,,ISCGEM817612,ISCGEM,ISCGEM,ISCGEM,Automatic
1009,08/04/1968,11:41:25,6.498,126.777,Earthquake,100.0,,,6.1,MW,,,,,,,ISCGEM817656,ISCGEM,ISCGEM,ISCGEM,Automatic
1010,08/05/1968,16:17:06,33.231,132.192,Earthquake,45.7,,,6.8,MW,,,,,,,ISCGEM817699,ISCGEM,ISCGEM,ISCGEM,Automatic
1011,08/07/1968,08:00:15,43.024,144.844,Earthquake,59.9,,,5.8,MW,,,,,,,ISCGEM817753,ISCGEM,ISCGEM,ISCGEM,Automatic
1012,08/08/1968,04:55:10,36.363,141.587,Earthquake,37.6,,,5.8,MW,,,,,,,ISCGEM817774,ISCGEM,ISCGEM,ISCGEM,Automatic
